OTU	Lucas0112	Classification
Otu4056	1	No hits
Otu4057	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes
Otu4054	1	Main genome;Eukaryota;Excavata;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Unknown Metakinetoplastina genus 1
Otu4055	1	No hits
Otu4052	1	Main genome;Eukaryota;SAR;Alveolata;Apicomplexa;Unknown Apicomplexa class 4
Otu4053	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Cercomonadidae;Paracercomonas
Otu4050	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa
Otu4051	2	No hits
Otu4058	1	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast);Chloroplastida (Chloroplast);Chlorophyta (Chloroplast);Chlorophyceae (Chloroplast);Chlamydomonadales (Chloroplast);Polytoma (Chloroplast) (Chlamydomonadales (Chloroplast));Polytoma oviforme (Chloroplast) (Polytoma (Chloroplast) (Chlamydomonadales (Chloroplast)))
Otu4059	1	Main genome;Eukaryota;SAR;Alveolata;Protalveolata;Chromerida;Chromera
Otu4588	1	Main genome;Eukaryota;SAR;Alveolata;Ciliophora;Unknown Ciliophora class 3
Otu4589	1	No hits
Otu4580	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;LKM15
Otu4581	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Cercozoa incertae sedis;Kraken
Otu4582	1	No hits
Otu4583	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa
Otu4584	2	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Cercomonadidae
Otu4585	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya
Otu4586	1	No hits
Otu4587	1	No hits
Otu5183	2	Main genome;Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Spirotrichea;Hypotrichia;Holosticha
Otu5182	1	Main genome;Eukaryota;Excavata;Discoba;Discicristata;Heterolobosea;Tetramitia;Allovahlkampfia
Otu5181	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Unknown Tremellomycetes species 6
Otu5180	1	No hits
Otu5187	1	No hits
Otu5186	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Unknown Ascomycota family 75
Otu5185	1	Main genome;Eukaryota;SAR;Stramenopiles;Ochrophyta;Xanthophyceae;Mischococcales;Pleurochloris;Pleurochloris meiringensis
Otu5184	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Mucoromycota;Mortierellomycotina;Mortierellomycotina incertae sedis;Mortierellales
