OTU	Lucas0198	Classification
Otu7690	1	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast);Chloroplastida (Chloroplast);Charophyta (Chloroplast);Phragmoplastophyta (Chloroplast);Streptophyta (Chloroplast);Embryophyta (Chloroplast);Tracheophyta (Chloroplast);Spermatophyta (Chloroplast);Magnoliophyta (Chloroplast);Caryophyllales (Chloroplast);Rumex (Chloroplast);Rumex palustris (Chloroplast)
Otu12804	1	No hits
Otu318	11	Main genome;Eukaryota;Eukaryota incertae sedis;Apusomonadidae;Amastigomonas
Otu319	31	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa
Otu9074	4	Main genome;Eukaryota;Amoebozoa;Protosteliida
Otu5509	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Imbricatea;Spongomonadida;Spongomonas
Otu310	2	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes
Otu311	2	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Chytridiomycota incertae sedis;Unknown Chytridiomycota incertae sedis family 14
Otu312	2	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Thecofilosea
Otu313	25	No hits
Otu314	9	Main genome;Eukaryota;Amoebozoa
Otu315	40	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Mucoromycota;Mucoromycotina;Mucoromycotina incertae sedis;Mucorales;Unknown Mucorales species 2
Otu316	2	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Mucoromycota;Mortierellomycotina;Mortierellomycotina incertae sedis;Mortierellales;Mortierellaceae;Unknown Mortierellaceae strain 3
Otu317	26	Main genome;Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae
Otu5507	2	Main genome;Eukaryota;Excavata;Discoba;Discicristata;Euglenozoa;Unknown Euglenozoa order 10
Otu8923	1	No hits
Otu5506	1	Main genome;Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria
Otu9465	1	Main genome;Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Conthreep;Unknown Conthreep family 58
Otu1037	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Chytridiales;Chytridiaceae;Dendrochytridium;Dendrochytridium crassum
Otu1036	2	Main genome;Eukaryota;Opisthokonta;Aphelidea;Aphelidium
Otu1035	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa
Otu1034	27	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Phytomyxea
Otu1033	1	Main genome;Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Unknown Chromadorea species 32
Otu1032	31	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Vampyrellidae
Otu1031	1	No hits
Otu1030	1	Main genome;Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Conthreep;Colpodea;Colpodida;Unknown Colpodida species 10
Otu8196	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Mucoromycota;Mortierellomycotina;Mortierellomycotina incertae sedis;Mortierellales
Otu9466	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa
Otu1039	1	No hits
Otu1038	14	Main genome;Eukaryota;SAR;Stramenopiles;Peronosporomycetes
Otu11620	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Glissomonadida;Heteromita
