OTU	Lucas0501	Classification
Otu4056	1	No hits
Otu4057	2	Main genome;Eukaryota;Opisthokonta;Holozoa;Choanoflagellida;Craspedida;Salpingoecidae
Otu4054	5	No hits
Otu4055	2	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Blastocladiomycota;Unknown Blastocladiomycota order 1
Otu4052	7	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Cercomonadidae
Otu4053	4	No hits
Otu4050	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Pezizomycetes;Pezizales
Otu4051	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Vampyrellidae
Otu9070	1	Main genome;Eukaryota;Amoebozoa;Tubulinea;Arcellinida
Otu4058	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Imbricatea;Silicofilosea;Euglyphida;Trinematidae;Unknown Trinematidae species 7
Otu4059	2	No hits
Otu4588	3	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Blastocladiomycota;Blastocladiomycota incertae sedis;Blastocladiomycetes;Blastocladiales
Otu4589	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Unknown Ascomycota family 61
Otu4580	1	No hits
Otu4581	1	Main genome;Eukaryota;Amoebozoa;Tubulinea;Euamoebida
Otu4582	2	No hits
Otu4583	1	No hits
Otu4584	1	No hits
Otu4585	5	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast);Chloroplastida (Chloroplast);Charophyta (Chloroplast);Phragmoplastophyta (Chloroplast);Streptophyta (Chloroplast);Embryophyta (Chloroplast);Unknown Embryophyta (Chloroplast) genus 3
Otu4586	1	Main genome;Eukaryota;SAR;Stramenopiles;Ochrophyta;Chrysophyceae
Otu4587	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Unknown Pezizomycotina genus 23
Otu5183	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi
Otu5182	1	Main genome;Eukaryota;SAR;Alveolata;Dinoflagellata;Dinophyceae
Otu5181	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa
Otu5180	2	No hits
Otu5187	3	Main genome;Eukaryota;Cryptophyceae;Goniomonas
Otu5186	2	No hits
