OTU	Lucas0115	Classification
Otu4056	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi
Otu4057	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Vampyrellidae
Otu4054	4	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa
Otu4055	8	Main genome;Eukaryota;Opisthokonta;Holozoa;Choanoflagellida;Craspedida;Codonosigidae;Unknown Codonosigidae family 3
Otu4052	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina
Otu4053	1	Main genome;Eukaryota;Amoebozoa;Tubulinea;Euamoebida
Otu4050	1	No hits
Otu4051	2	Main genome;Eukaryota;SAR;Alveolata;Apicomplexa;Conoidasida;Gregarinasina;Unknown Gregarinasina family 4
Otu9070	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes
Otu4058	8	Main genome;Eukaryota;Excavata
Otu4059	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Cercomonadidae
Otu4588	5	Main genome;Eukaryota;Excavata;Discoba;Discicristata;Euglenozoa;Unknown Euglenozoa order 1
Otu4589	1	No hits
Otu4580	1	Main genome;Eukaryota;Opisthokonta
Otu4581	1	Main genome;Eukaryota;Opisthokonta;Holozoa;Choanoflagellida;Craspedida;Codonosigidae;Monosiga;Monosiga ovata
Otu4582	1	Main genome;Eukaryota;Amoebozoa;Gracilipodida;Telaepolella;Telaepolella tubasferens
Otu4583	2	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina
Otu4584	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Cystobasidiomycetes;Unknown Cystobasidiomycetes species 1
Otu4585	6	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast);Chloroplastida (Chloroplast);Chlorophyta (Chloroplast);Chlorophyceae (Chloroplast);Sphaeropleales (Chloroplast);Dictyochloris (Chloroplast);Dictyochloris fragrans (Chloroplast)
Otu4586	1	No hits
Otu4587	8	No hits
Otu11497	2	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina
Otu11496	1	No hits
Otu11495	1	Main genome;Eukaryota;Excavata;Discoba;Discicristata;Heterolobosea;Tetramitia;Naegleria
Otu11494	2	Main genome;Eukaryota;SAR;Stramenopiles;Ochrophyta;Chrysophyceae
Otu11493	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;LKM15
Otu11492	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Unknown Chytridiomycota order 25
Otu11491	1	No hits
Otu11490	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Sordariomycetes;Xylariales;Apiosporaceae;Arthrinium
Otu16275	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa
Otu11499	2	Main genome;Eukaryota;SAR;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae incertae sedis;Chlamydomyxa
Otu11498	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Imbricatea;Spongomonadida;Unknown Spongomonadida family 7
Otu5183	2	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Cercomonadidae
Otu5182	3	Main genome;Eukaryota
Otu5181	9	Main genome;Eukaryota;SAR;Stramenopiles;Ochrophyta;Xanthophyceae
Otu5180	1	No hits
Otu5187	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Glissomonadida;Heteromita
Otu5186	1	Main genome;Eukaryota;Excavata;Discoba;Discicristata;Heterolobosea;Tetramitia;Unknown Tetramitia family 16
Otu5185	1	Main genome;Eukaryota;Amoebozoa;Tubulinea;Euamoebida
Otu5184	1	Main genome;Eukaryota;Amoebozoa;Gracilipodida;Telaepolella
Otu6560	1	No hits
Otu6561	1	No hits
Otu5189	3	Main genome;Eukaryota;Amoebozoa;Myxogastria;Didymium
Otu5188	1	Main genome;Eukaryota;SAR;Stramenopiles;Ochrophyta;Chrysophyceae;Ochromonadales;Ochromonas
Otu6564	5	Main genome;Eukaryota;Opisthokonta;Aphelidea;Aphelidium
Otu6565	4	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Rhizophlyctidales;Unknown Rhizophlyctidales species 1
Otu6566	1	Main genome;Eukaryota;SAR;Alveolata;Apicomplexa;Conoidasida;Gregarinasina;Eugregarinorida;Unknown Eugregarinorida genus 2
Otu6567	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Bolbitiaceae;Conocybe;Conocybe apala
Otu4632	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Cercomonadidae
Otu4633	1	No hits
Otu4630	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Vampyrellidae
Otu4631	1	Main genome;Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Unknown Nematoda genus 24
Otu4636	4	Main genome;Eukaryota;SAR;Stramenopiles;Ochrophyta;Chrysophyceae
Otu4637	1	No hits
Otu4634	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Novel Clade 10
Otu4635	2	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Unknown Dothideomycetes species 6
Otu4638	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi
Otu4639	13	Main genome;Eukaryota;Amoebozoa;Gracilipodida;Telaepolella
Otu11639	1	No hits
Otu11638	1	No hits
Otu11149	1	No hits
Otu11148	1	Main genome;Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Conthreep;Unknown Conthreep family 38
Otu9788	2	Main genome;Eukaryota;Amoebozoa;Tubulinea;Euamoebida
Otu11145	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Filobasidiales;Piskurozymaceae;Solicoccozyma
Otu11144	1	No hits
Otu11147	1	No hits
Otu11146	1	Main genome;Eukaryota;SAR
Otu11141	1	Main genome;Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Tylenchida
Otu11140	1	Main genome;Eukaryota;SAR;Stramenopiles;Bicosoecida
Otu11143	1	No hits
Otu11142	2	Main genome;Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Unknown Chromadorea species 31
Otu11744	4	Main genome;Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Unknown Intramacronucleata order 5
