OTU	Lucas0003	Classification
Otu4056	4	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa
Otu4057	15	No hits
Otu4054	12	Main genome;Eukaryota;Amoebozoa
Otu4055	1	Main genome;Eukaryota;Amoebozoa;Tubulinea;Leptomyxida
Otu4052	4	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa
Otu4053	1	No hits
Otu4050	1	Main genome;Eukaryota;Amoebozoa;Tubulinea;Arcellinida
Otu4051	5	No hits
Otu9070	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Glissomonadida;Heteromita;Heteromita globosa
Otu4058	1	Main genome;Eukaryota;Excavata;Discoba;Discicristata;Heterolobosea;Unknown Heterolobosea order 16
Otu4059	1	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast);Chloroplastida (Chloroplast);Charophyta (Chloroplast);Phragmoplastophyta (Chloroplast);Streptophyta (Chloroplast);Embryophyta (Chloroplast);Tracheophyta (Chloroplast);Spermatophyta (Chloroplast);Magnoliophyta (Chloroplast);Gentianales (Chloroplast);Galium (Chloroplast);Galium aparine (Chloroplast)
Otu4588	12	No hits
Otu4589	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Unknown Eurotiomycetes species 18
Otu4580	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Cercomonadidae
Otu4581	1	No hits
Otu4582	1	No hits
Otu4583	2	No hits
Otu4584	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Phytomyxea;Spongospora
Otu4585	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Cercomonadidae;Cercomonas;Unknown Cercomonas family 2
Otu4586	1	No hits
Otu4587	8	Main genome;Eukaryota;Amoebozoa;Discosea;Flabellinia;Dactylopodida
Otu11497	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Cystofilobasidiales;Cystofilobasidiaceae;Cystofilobasidium
Otu11496	1	No hits
Otu11495	1	Main genome;Eukaryota;Amoebozoa;Amoebozoa incertae sedis;Arboramoeba
Otu11494	1	No hits
Otu11493	1	No hits
Otu11492	4	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Imbricatea;Silicofilosea;Thaumatomonadida;Unknown Thaumatomonadida genus 3
Otu11491	5	Main genome;Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Unknown Nematoda genus 4
Otu11490	1	Main genome;Eukaryota;SAR;Stramenopiles;Hyphochytriomycetes;Hyphochytriales
Otu19697	1	No hits
Otu16275	1	Main genome;Eukaryota;Excavata;Discoba;Discicristata;Euglenozoa;Unknown Euglenozoa order 44
Otu11499	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Zoopagomycota;Zoopagomycotina;Unknown Zoopagomycotina family 30
Otu11498	1	No hits
Otu5183	1	Main genome;Eukaryota;Excavata;Discoba;Discicristata;Heterolobosea;Tetramitia;Tetramitus;Unknown Tetramitus genus 2
Otu5182	1	No hits
Otu5181	4	No hits
Otu5180	3	No hits
Otu5187	4	Main genome;Eukaryota;Amoebozoa;Discosea;Flabellinia;Vannellida;Vannella;Unknown Vannella family 2
Otu5186	2	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Phytomyxea;Woronina
Otu5185	1	Main genome;Eukaryota;Opisthokonta
Otu5184	1	No hits
Otu6560	3	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast);Chloroplastida (Chloroplast);Chlorophyta (Chloroplast);Trebouxiophyceae (Chloroplast)
Otu6561	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Vampyrellidae
Otu5189	4	Main genome;Eukaryota;Amoebozoa;Tubulinea;Euamoebida;BOLA868
Otu5188	1	No hits
Otu6564	1	No hits
Otu6565	1	No hits
Otu6566	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Chytridiomycota incertae sedis;Chytridiomycetes;Rhizophydiales
Otu6567	1	Main genome;Eukaryota;SAR;Stramenopiles;Labyrinthulomycetes;Sorodiplophrys
Otu4632	2	Main genome;Eukaryota;Amoebozoa
Otu4633	1	No hits
Otu4630	1	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis
Otu4631	7	No hits
Otu4636	1	Main genome;Eukaryota;Opisthokonta
Otu4637	15	No hits
Otu4634	1	No hits
Otu4635	1	Main genome;Eukaryota;SAR;Stramenopiles;Ochrophyta;Chrysophyceae;Ochromonadales;Ochromonas
Otu4638	1	Main genome;Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Litostomatea;Haptoria
Otu4639	1	Main genome;Eukaryota;Amoebozoa;Tubulinea;Euamoebida;BOLA868
Otu18855	1	No hits
Otu11639	1	No hits
Otu11638	1	Main genome;Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae
Otu11149	2	Main genome;Eukaryota;Excavata;Discoba;Discicristata;Heterolobosea;Tetramitia;Unknown Tetramitia family 16
Otu11148	1	No hits
Otu9788	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa
Otu11145	1	No hits
Otu11144	1	No hits
Otu11147	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Thecofilosea
Otu11146	1	Main genome;Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida
Otu11141	1	Main genome;Eukaryota;Opisthokonta;Holozoa;Filasterea;Ministeriida;Capsasporidae;Unknown Capsasporidae family 2
Otu11140	2	Main genome;Eukaryota;Excavata;Discoba;Discicristata;Heterolobosea;Tetramitia;Unknown Tetramitia family 15
Otu11143	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Chaetothyriales;Trichomeriaceae;Knufia
Otu11142	1	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast);Chloroplastida (Chloroplast);Charophyta (Chloroplast);Phragmoplastophyta (Chloroplast);Streptophyta (Chloroplast);Embryophyta (Chloroplast);Tracheophyta (Chloroplast);Unknown Tracheophyta (Chloroplast) species 69
Otu11744	1	No hits
Otu18432	1	Main genome;Eukaryota;Amoebozoa;Tubulinea;Euamoebida
Otu9075	1	No hits
