OTU	Lucas0118	Classification
Otu4056	1	Main genome;Eukaryota;Amoebozoa;Gracilipodida;Telaepolella
Otu4057	1	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa
Otu4054	2	No hits
Otu4055	4	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Ascomycota incertae sedis;Ascomycota incertae sedis incertae sedis;Ascomycota incertae sedis incertae sedis incertae sedis;Ascomycota incertae sedis incertae sedis incertae sedis incertae sedis;Calcarisporiella
Otu4052	1	No hits
Otu4053	1	No hits
Otu4050	2	Main genome;Eukaryota;SAR;Stramenopiles;Ochrophyta;Chrysophyceae
Otu4051	6	Main genome;Eukaryota;Amoebozoa;Cavosteliida;Schizoplasmodiopsis
Otu9070	1	Main genome;Eukaryota;Opisthokonta;Holozoa;Ichthyosporea;Ichthyophonae;Pseudoperkinsidae;LKM51
Otu4058	1	No hits
Otu4059	1	Main genome;Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Annelida;Unknown Annelida genus 2
Otu4588	1	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);Pseudonocardiales;Pseudonocardiaceae;Kibdelosporangium
Otu4589	1	Main genome;Eukaryota;NAMAKO-1
Otu4580	1	Main genome;Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Spirotrichea;Hypotrichia;Pseudourostyla;Unknown Pseudourostyla species 1
Otu4581	1	No hits
Otu4582	8	No hits
Otu4583	1	No hits
Otu4584	1	No hits
Otu4585	1	No hits
Otu4586	11	No hits
Otu4587	1	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast);Chloroplastida (Chloroplast);Chlorophyta (Chloroplast);Trebouxiophyceae (Chloroplast)
Otu11497	1	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina
Otu11496	2	No hits
Otu11495	2	No hits
