Rank	Taxonpath	Taxon	Lucas0118
root	root	root	212392
meta	Main genome	Main genome	0
meta	Chloroplast	Chloroplast	11925
meta	No hits	No hits	16355
domain	Main genome;Bacteria	Bacteria	96
domain	Main genome;Eukaryota	Eukaryota	199525
domain	Main genome;Archaea	Archaea	697
domain	Chloroplast;Eukaryota (Chloroplast)	Eukaryota (Chloroplast)	0
superkingdom	Main genome;Bacteria;Proteobacteria	Proteobacteria	0
superkingdom	Main genome;Bacteria;Actinobacteria	Actinobacteria	0
superkingdom	Main genome;Bacteria;Verrucomicrobia	Verrucomicrobia	0
superkingdom	Main genome;Bacteria;Acidobacteria	Acidobacteria	0
superkingdom	Main genome;Bacteria;Planctomycetes	Planctomycetes	0
superkingdom	Main genome;Eukaryota;Opisthokonta	Opisthokonta	150695
superkingdom	Main genome;Eukaryota;SAR	SAR	41026
superkingdom	Main genome;Eukaryota;Excavata	Excavata	255
superkingdom	Main genome;Eukaryota;Haptophyta	Haptophyta	8
superkingdom	Main genome;Eukaryota;Cryptophyceae	Cryptophyceae	0
superkingdom	Main genome;Eukaryota;Amoebozoa	Amoebozoa	6393
superkingdom	Main genome;Eukaryota;Eukaryota incertae sedis	Eukaryota incertae sedis	0
superkingdom	Main genome;Eukaryota;NAMAKO-1	NAMAKO-1	76
superkingdom	Main genome;Eukaryota;Centrohelida	Centrohelida	74
superkingdom	Main genome;Archaea;Crenarchaeota	Crenarchaeota	0
superkingdom	Main genome;Archaea;Thaumarchaeota	Thaumarchaeota	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast)	Archaeplastida (Chloroplast)	0
kingdom	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria	Gammaproteobacteria	0
kingdom	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria	Deltaproteobacteria	0
kingdom	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom)	Actinobacteria (kingdom)	0
kingdom	Main genome;Bacteria;Verrucomicrobia;Verrucomicrobiae	Verrucomicrobiae	0
kingdom	Main genome;Bacteria;Acidobacteria;Acidobacteriia	Acidobacteriia	0
kingdom	Main genome;Bacteria;Acidobacteria;Holophagae	Holophagae	0
kingdom	Main genome;Bacteria;Planctomycetes;Planctomycetacia	Planctomycetacia	0
kingdom	Main genome;Bacteria;Planctomycetes;Phycisphaerae	Phycisphaerae	0
kingdom	Main genome;Eukaryota;Opisthokonta;Holozoa	Holozoa	23471
kingdom	Main genome;Eukaryota;Opisthokonta;Nucletmycea	Nucletmycea	126798
kingdom	Main genome;Eukaryota;Opisthokonta;Aphelidea	Aphelidea	110
kingdom	Main genome;Eukaryota;SAR;Stramenopiles	Stramenopiles	3948
kingdom	Main genome;Eukaryota;SAR;Alveolata	Alveolata	10318
kingdom	Main genome;Eukaryota;SAR;Rhizaria	Rhizaria	0
kingdom	Main genome;Eukaryota;Excavata;Discoba	Discoba	0
kingdom	Main genome;Eukaryota;Cryptophyceae;Goniomonas	Goniomonas	8
kingdom	Main genome;Eukaryota;Amoebozoa;Protosporangiida	Protosporangiida	0
kingdom	Main genome;Eukaryota;Amoebozoa;Gracilipodida	Gracilipodida	411
kingdom	Main genome;Eukaryota;Amoebozoa;Tubulinea	Tubulinea	3856
kingdom	Main genome;Eukaryota;Amoebozoa;Discosea	Discosea	421
kingdom	Main genome;Eukaryota;Amoebozoa;Protosteliida	Protosteliida	214
kingdom	Main genome;Eukaryota;Amoebozoa;Cavosteliida	Cavosteliida	47
kingdom	Main genome;Eukaryota;Amoebozoa;Amoebozoa incertae sedis	Amoebozoa incertae sedis	0
kingdom	Main genome;Eukaryota;Amoebozoa;Myxogastria	Myxogastria	160
kingdom	Main genome;Eukaryota;Amoebozoa;Schizoplasmodiida	Schizoplasmodiida	172
kingdom	Main genome;Eukaryota;Amoebozoa;Fractovitelliida	Fractovitelliida	0
kingdom	Main genome;Eukaryota;Amoebozoa;Mycamoeba	Mycamoeba	94
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Apusomonadidae	Apusomonadidae	74
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Ancyromonadida	Ancyromonadida	0
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Telonema	Telonema	29
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Palpitomonas	Palpitomonas	19
kingdom	Main genome;Eukaryota;Centrohelida;Acanthocystidae	Acanthocystidae	0
kingdom	Main genome;Eukaryota;Centrohelida;H1-10	H1-10	11
kingdom	Main genome;Eukaryota;Centrohelida;CV1-B1-93	CV1-B1-93	16
kingdom	Main genome;Archaea;Crenarchaeota;Bathyarchaeia	Bathyarchaeia	5
kingdom	Main genome;Archaea;Thaumarchaeota;Nitrososphaeria	Nitrososphaeria	0
kingdom	Main genome;Archaea;Thaumarchaeota;Group 1.1c	Group 1.1c	2
kingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast);Chloroplastida (Chloroplast)	Chloroplastida (Chloroplast)	11899
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	Pseudomonadales	0
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis	Gammaproteobacteria Incertae Sedis	0
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;WD260	WD260	3
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;KF-JG30-C25	KF-JG30-C25	3
phylum	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales	Myxococcales	3
phylum	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Oligoflexales	Oligoflexales	0
phylum	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);Streptomycetales	Streptomycetales	0
phylum	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);Pseudonocardiales	Pseudonocardiales	0
phylum	Main genome;Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales	Chthoniobacterales	0
phylum	Main genome;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales	Acidobacteriales	0
phylum	Main genome;Bacteria;Acidobacteria;Holophagae;Subgroup 7	Subgroup 7	2
phylum	Main genome;Bacteria;Planctomycetes;Planctomycetacia;Isosphaerales	Isosphaerales	0
phylum	Main genome;Bacteria;Planctomycetes;Phycisphaerae;Tepidisphaerales	Tepidisphaerales	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia)	Metazoa (Animalia)	20855
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Ichthyosporea	Ichthyosporea	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Choanoflagellida	Choanoflagellida	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Filasterea	Filasterea	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 1	Unknown Holozoa phylum 1	30
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 2	Unknown Holozoa phylum 2	22
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 3	Unknown Holozoa phylum 3	22
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 4	Unknown Holozoa phylum 4	4
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 5	Unknown Holozoa phylum 5	2
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 6	Unknown Holozoa phylum 6	2
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 7	Unknown Holozoa phylum 7	2
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 8	Unknown Holozoa phylum 8	2
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 9	Unknown Holozoa phylum 9	2
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi	Fungi	126648
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Nucleariidae and Fonticula group	Nucleariidae and Fonticula group	0
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 1	Unknown Nucletmycea phylum 1	8
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 2	Unknown Nucletmycea phylum 2	2
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 3	Unknown Nucletmycea phylum 3	2
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 4	Unknown Nucletmycea phylum 4	2
