Rank	Taxonpath	Taxon	Lucas0202
root	root	root	82545
meta	Main genome	Main genome	52256
meta	Chloroplast	Chloroplast	29146
meta	No hits	No hits	3343
domain	Main genome;Bacteria	Bacteria	0
domain	Main genome;Eukaryota	Eukaryota	52881
domain	Main genome;Archaea	Archaea	406
domain	Chloroplast;Eukaryota (Chloroplast)	Eukaryota (Chloroplast)	0
superkingdom	Main genome;Bacteria;Proteobacteria	Proteobacteria	0
superkingdom	Main genome;Bacteria;Bacteroidetes	Bacteroidetes	0
superkingdom	Main genome;Bacteria;Acidobacteria	Acidobacteria	0
superkingdom	Main genome;Bacteria;Planctomycetes	Planctomycetes	0
superkingdom	Main genome;Eukaryota;Opisthokonta	Opisthokonta	40119
superkingdom	Main genome;Eukaryota;SAR	SAR	10451
superkingdom	Main genome;Eukaryota;Excavata	Excavata	56
superkingdom	Main genome;Eukaryota;Haptophyta	Haptophyta	10
superkingdom	Main genome;Eukaryota;Amoebozoa	Amoebozoa	1701
superkingdom	Main genome;Eukaryota;Eukaryota incertae sedis	Eukaryota incertae sedis	0
superkingdom	Main genome;Eukaryota;Centrohelida	Centrohelida	13
superkingdom	Main genome;Archaea;Thaumarchaeota	Thaumarchaeota	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast)	Archaeplastida (Chloroplast)	0
kingdom	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria	Gammaproteobacteria	14
kingdom	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria	Alphaproteobacteria	0
kingdom	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria	Deltaproteobacteria	5
kingdom	Main genome;Bacteria;Bacteroidetes;Bacteroidia	Bacteroidia	0
kingdom	Main genome;Bacteria;Acidobacteria;Subgroup 6	Subgroup 6	10
kingdom	Main genome;Bacteria;Acidobacteria;Holophagae	Holophagae	0
kingdom	Main genome;Bacteria;Acidobacteria;Subgroup 17	Subgroup 17	2
kingdom	Main genome;Bacteria;Planctomycetes;Planctomycetacia	Planctomycetacia	0
kingdom	Main genome;Bacteria;Planctomycetes;Phycisphaerae	Phycisphaerae	0
kingdom	Main genome;Eukaryota;Opisthokonta;Holozoa	Holozoa	4226
kingdom	Main genome;Eukaryota;Opisthokonta;Nucletmycea	Nucletmycea	0
kingdom	Main genome;Eukaryota;Opisthokonta;Aphelidea	Aphelidea	38
kingdom	Main genome;Eukaryota;SAR;Stramenopiles	Stramenopiles	0
kingdom	Main genome;Eukaryota;SAR;Alveolata	Alveolata	1168
kingdom	Main genome;Eukaryota;SAR;Rhizaria	Rhizaria	0
kingdom	Main genome;Eukaryota;Excavata;Discoba	Discoba	0
kingdom	Main genome;Eukaryota;Amoebozoa;Dictyostelia	Dictyostelia	0
kingdom	Main genome;Eukaryota;Amoebozoa;Protosporangiida	Protosporangiida	0
kingdom	Main genome;Eukaryota;Amoebozoa;Gracilipodida	Gracilipodida	50
kingdom	Main genome;Eukaryota;Amoebozoa;Tubulinea	Tubulinea	901
kingdom	Main genome;Eukaryota;Amoebozoa;Discosea	Discosea	262
kingdom	Main genome;Eukaryota;Amoebozoa;Protosteliida	Protosteliida	41
kingdom	Main genome;Eukaryota;Amoebozoa;Cavosteliida	Cavosteliida	16
kingdom	Main genome;Eukaryota;Amoebozoa;Amoebozoa incertae sedis	Amoebozoa incertae sedis	116
kingdom	Main genome;Eukaryota;Amoebozoa;Myxogastria	Myxogastria	0
kingdom	Main genome;Eukaryota;Amoebozoa;Schizoplasmodiida	Schizoplasmodiida	47
kingdom	Main genome;Eukaryota;Amoebozoa;Mycamoeba	Mycamoeba	28
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Apusomonadidae	Apusomonadidae	0
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Breviatea	Breviatea	0
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Ancyromonadida	Ancyromonadida	0
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Rigifilida	Rigifilida	3
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Telonema	Telonema	5
kingdom	Main genome;Eukaryota;Centrohelida;H15-6	H15-6	4
kingdom	Main genome;Eukaryota;Centrohelida;H1-10	H1-10	4
kingdom	Main genome;Eukaryota;Centrohelida;CV1-B1-93	CV1-B1-93	11
