Rank	Taxonpath	Taxon	Lucas0206
root	root	root	316891
meta	Main genome	Main genome	293690
meta	Chloroplast	Chloroplast	22629
meta	No hits	No hits	8204
domain	Main genome;Bacteria	Bacteria	192
domain	Main genome;Eukaryota	Eukaryota	293252
domain	Main genome;Archaea	Archaea	644
domain	Chloroplast;Eukaryota (Chloroplast)	Eukaryota (Chloroplast)	0
superkingdom	Main genome;Bacteria;Proteobacteria	Proteobacteria	0
superkingdom	Main genome;Bacteria;Actinobacteria	Actinobacteria	0
superkingdom	Main genome;Bacteria;Acidobacteria	Acidobacteria	0
superkingdom	Main genome;Bacteria;Planctomycetes	Planctomycetes	0
superkingdom	Main genome;Eukaryota;Opisthokonta	Opisthokonta	258453
superkingdom	Main genome;Eukaryota;SAR	SAR	31668
superkingdom	Main genome;Eukaryota;Excavata	Excavata	219
superkingdom	Main genome;Eukaryota;Haptophyta	Haptophyta	18
superkingdom	Main genome;Eukaryota;Cryptophyceae	Cryptophyceae	0
superkingdom	Main genome;Eukaryota;Amoebozoa	Amoebozoa	1949
superkingdom	Main genome;Eukaryota;Eukaryota incertae sedis	Eukaryota incertae sedis	619
superkingdom	Main genome;Eukaryota;NAMAKO-1	NAMAKO-1	76
superkingdom	Main genome;Eukaryota;Centrohelida	Centrohelida	89
superkingdom	Main genome;Archaea;Crenarchaeota	Crenarchaeota	0
superkingdom	Main genome;Archaea;Thaumarchaeota	Thaumarchaeota	562
superkingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast)	Archaeplastida (Chloroplast)	0
kingdom	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria	Gammaproteobacteria	7
kingdom	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria	Deltaproteobacteria	0
kingdom	Main genome;Bacteria;Actinobacteria;Acidimicrobiia	Acidimicrobiia	0
kingdom	Main genome;Bacteria;Acidobacteria;Acidobacteriia	Acidobacteriia	0
kingdom	Main genome;Bacteria;Planctomycetes;Planctomycetacia	Planctomycetacia	0
kingdom	Main genome;Bacteria;Planctomycetes;Phycisphaerae	Phycisphaerae	0
kingdom	Main genome;Eukaryota;Opisthokonta;Holozoa	Holozoa	7980
kingdom	Main genome;Eukaryota;Opisthokonta;Nucletmycea	Nucletmycea	249809
kingdom	Main genome;Eukaryota;Opisthokonta;Aphelidea	Aphelidea	18
kingdom	Main genome;Eukaryota;SAR;Stramenopiles	Stramenopiles	4408
kingdom	Main genome;Eukaryota;SAR;Alveolata	Alveolata	12170
kingdom	Main genome;Eukaryota;SAR;Rhizaria	Rhizaria	0
kingdom	Main genome;Eukaryota;Excavata;Discoba	Discoba	0
kingdom	Main genome;Eukaryota;Excavata;Malawimonas	Malawimonas	0
kingdom	Main genome;Eukaryota;Haptophyta;Prymnesiophyceae	Prymnesiophyceae	0
kingdom	Main genome;Eukaryota;Cryptophyceae;Goniomonas	Goniomonas	13
kingdom	Main genome;Eukaryota;Amoebozoa;Protosporangiida	Protosporangiida	0
kingdom	Main genome;Eukaryota;Amoebozoa;Gracilipodida	Gracilipodida	20
kingdom	Main genome;Eukaryota;Amoebozoa;Tubulinea	Tubulinea	846
kingdom	Main genome;Eukaryota;Amoebozoa;Discosea	Discosea	191
kingdom	Main genome;Eukaryota;Amoebozoa;Protosteliida	Protosteliida	203
kingdom	Main genome;Eukaryota;Amoebozoa;Cavosteliida	Cavosteliida	34
kingdom	Main genome;Eukaryota;Amoebozoa;Amoebozoa incertae sedis	Amoebozoa incertae sedis	0
kingdom	Main genome;Eukaryota;Amoebozoa;Myxogastria	Myxogastria	0
kingdom	Main genome;Eukaryota;Amoebozoa;Schizoplasmodiida	Schizoplasmodiida	122
kingdom	Main genome;Eukaryota;Amoebozoa;Mycamoeba	Mycamoeba	59
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Apusomonadidae	Apusomonadidae	12
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Rigifilida	Rigifilida	593
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Telonema	Telonema	3
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Palpitomonas	Palpitomonas	27
kingdom	Main genome;Eukaryota;Centrohelida;Acanthocystidae	Acanthocystidae	6
kingdom	Main genome;Eukaryota;Centrohelida;H1-10	H1-10	14
kingdom	Main genome;Eukaryota;Centrohelida;CV1-B1-93	CV1-B1-93	16
kingdom	Main genome;Eukaryota;Centrohelida;Raphidiophryidae	Raphidiophryidae	0
kingdom	Main genome;Archaea;Crenarchaeota;Bathyarchaeia	Bathyarchaeia	78
kingdom	Main genome;Archaea;Thaumarchaeota;Nitrososphaeria	Nitrososphaeria	33
kingdom	Main genome;Archaea;Thaumarchaeota;Group 1.1c	Group 1.1c	520
kingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast);Chloroplastida (Chloroplast)	Chloroplastida (Chloroplast)	22543
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis	Gammaproteobacteria Incertae Sedis	0
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;WD260	WD260	3
phylum	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales	Myxococcales	2
phylum	Main genome;Bacteria;Actinobacteria;Acidimicrobiia;IMCC26256	IMCC26256	4
phylum	Main genome;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales	Acidobacteriales	0
phylum	Main genome;Bacteria;Planctomycetes;Planctomycetacia;Isosphaerales	Isosphaerales	0
phylum	Main genome;Bacteria;Planctomycetes;Phycisphaerae;Tepidisphaerales	Tepidisphaerales	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia)	Metazoa (Animalia)	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Ichthyosporea	Ichthyosporea	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Choanoflagellida	Choanoflagellida	227
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Filasterea	Filasterea	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Corallochytrea	Corallochytrea	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 1	Unknown Holozoa phylum 1	68
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 2	Unknown Holozoa phylum 2	16
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 3	Unknown Holozoa phylum 3	6
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 4	Unknown Holozoa phylum 4	6
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 5	Unknown Holozoa phylum 5	2
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 6	Unknown Holozoa phylum 6	2
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 7	Unknown Holozoa phylum 7	2
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 8	Unknown Holozoa phylum 8	2
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi	Fungi	249048
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Nucleariidae and Fonticula group	Nucleariidae and Fonticula group	0
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 1	Unknown Nucletmycea phylum 1	32
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 2	Unknown Nucletmycea phylum 2	18
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 3	Unknown Nucletmycea phylum 3	8
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 4	Unknown Nucletmycea phylum 4	6
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 5	Unknown Nucletmycea phylum 5	6
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 6	Unknown Nucletmycea phylum 6	4
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 7	Unknown Nucletmycea phylum 7	4
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 8	Unknown Nucletmycea phylum 8	2
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 9	Unknown Nucletmycea phylum 9	2
