Rank	Taxonpath	Taxon	Lucas0200
root	root	root	188854
meta	Main genome	Main genome	156845
meta	Chloroplast	Chloroplast	25678
meta	No hits	No hits	14189
domain	Main genome;Bacteria	Bacteria	183
domain	Main genome;Eukaryota	Eukaryota	157875
domain	Main genome;Archaea	Archaea	4012
domain	Chloroplast;Eukaryota (Chloroplast)	Eukaryota (Chloroplast)	0
superkingdom	Main genome;Bacteria;Proteobacteria	Proteobacteria	0
superkingdom	Main genome;Bacteria;Actinobacteria	Actinobacteria	0
superkingdom	Main genome;Bacteria;Verrucomicrobia	Verrucomicrobia	0
superkingdom	Main genome;Bacteria;Acidobacteria	Acidobacteria	0
superkingdom	Main genome;Bacteria;Chloroflexi	Chloroflexi	0
superkingdom	Main genome;Bacteria;Planctomycetes	Planctomycetes	0
superkingdom	Main genome;Eukaryota;Opisthokonta	Opisthokonta	73442
superkingdom	Main genome;Eukaryota;SAR	SAR	68493
superkingdom	Main genome;Eukaryota;Excavata	Excavata	0
superkingdom	Main genome;Eukaryota;Amoebozoa	Amoebozoa	10929
superkingdom	Main genome;Eukaryota;Eukaryota incertae sedis	Eukaryota incertae sedis	0
superkingdom	Main genome;Eukaryota;NAMAKO-1	NAMAKO-1	4
superkingdom	Main genome;Eukaryota;Centrohelida	Centrohelida	39
superkingdom	Main genome;Archaea;Crenarchaeota	Crenarchaeota	0
superkingdom	Main genome;Archaea;Thaumarchaeota	Thaumarchaeota	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast)	Archaeplastida (Chloroplast)	0
kingdom	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria	Gammaproteobacteria	6
kingdom	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria	Deltaproteobacteria	0
kingdom	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom)	Actinobacteria (kingdom)	0
kingdom	Main genome;Bacteria;Actinobacteria;Acidimicrobiia	Acidimicrobiia	0
kingdom	Main genome;Bacteria;Verrucomicrobia;Verrucomicrobiae	Verrucomicrobiae	2
kingdom	Main genome;Bacteria;Acidobacteria;Subgroup 17	Subgroup 17	2
kingdom	Main genome;Bacteria;Chloroflexi;Chloroflexia	Chloroflexia	0
kingdom	Main genome;Bacteria;Planctomycetes;Planctomycetacia	Planctomycetacia	0
kingdom	Main genome;Bacteria;Planctomycetes;OM190	OM190	4
kingdom	Main genome;Eukaryota;Opisthokonta;Holozoa	Holozoa	13290
kingdom	Main genome;Eukaryota;Opisthokonta;Nucletmycea	Nucletmycea	59910
kingdom	Main genome;Eukaryota;Opisthokonta;Aphelidea	Aphelidea	33
kingdom	Main genome;Eukaryota;SAR;Stramenopiles	Stramenopiles	8318
kingdom	Main genome;Eukaryota;SAR;Alveolata	Alveolata	18793
kingdom	Main genome;Eukaryota;SAR;Rhizaria	Rhizaria	0
kingdom	Main genome;Eukaryota;Excavata;Discoba	Discoba	0
kingdom	Main genome;Eukaryota;Excavata;Malawimonas	Malawimonas	0
kingdom	Main genome;Eukaryota;Amoebozoa;Dictyostelia	Dictyostelia	0
kingdom	Main genome;Eukaryota;Amoebozoa;Protosporangiida	Protosporangiida	0
kingdom	Main genome;Eukaryota;Amoebozoa;Gracilipodida	Gracilipodida	801
kingdom	Main genome;Eukaryota;Amoebozoa;Tubulinea	Tubulinea	3733
kingdom	Main genome;Eukaryota;Amoebozoa;Discosea	Discosea	1852
kingdom	Main genome;Eukaryota;Amoebozoa;Protosteliida	Protosteliida	246
kingdom	Main genome;Eukaryota;Amoebozoa;Cavosteliida	Cavosteliida	422
kingdom	Main genome;Eukaryota;Amoebozoa;Amoebozoa incertae sedis	Amoebozoa incertae sedis	0
kingdom	Main genome;Eukaryota;Amoebozoa;Myxogastria	Myxogastria	0
kingdom	Main genome;Eukaryota;Amoebozoa;Schizoplasmodiida	Schizoplasmodiida	799
kingdom	Main genome;Eukaryota;Amoebozoa;Fractovitelliida	Fractovitelliida	0
kingdom	Main genome;Eukaryota;Amoebozoa;Mycamoeba	Mycamoeba	160
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Apusomonadidae	Apusomonadidae	20
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Breviatea	Breviatea	0
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Ancyromonadida	Ancyromonadida	0
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Telonema	Telonema	4
kingdom	Main genome;Eukaryota;Centrohelida;Acanthocystidae	Acanthocystidae	0
kingdom	Main genome;Eukaryota;Centrohelida;H15-6	H15-6	14
kingdom	Main genome;Eukaryota;Centrohelida;H1-10	H1-10	2
kingdom	Main genome;Eukaryota;Centrohelida;CV1-B1-93	CV1-B1-93	7
kingdom	Main genome;Archaea;Crenarchaeota;Bathyarchaeia	Bathyarchaeia	2
kingdom	Main genome;Archaea;Thaumarchaeota;Nitrososphaeria	Nitrososphaeria	4003
kingdom	Main genome;Archaea;Thaumarchaeota;Group 1.1c	Group 1.1c	3
kingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast);Chloroplastida (Chloroplast)	Chloroplastida (Chloroplast)	25648
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis	Gammaproteobacteria Incertae Sedis	0
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;PLTA13	PLTA13	3
phylum	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales	Myxococcales	0
phylum	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);Micrococcales	Micrococcales	0
phylum	Main genome;Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales	Microtrichales	0
phylum	Main genome;Bacteria;Chloroflexi;Chloroflexia;Thermomicrobiales	Thermomicrobiales	0
phylum	Main genome;Bacteria;Planctomycetes;Planctomycetacia;Pirellulales	Pirellulales	0
phylum	Main genome;Bacteria;Planctomycetes;Planctomycetacia;Gemmatales	Gemmatales	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia)	Metazoa (Animalia)	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Ichthyosporea	Ichthyosporea	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Choanoflagellida	Choanoflagellida	75
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Filasterea	Filasterea	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 1	Unknown Holozoa phylum 1	386
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 2	Unknown Holozoa phylum 2	42
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 3	Unknown Holozoa phylum 3	22
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 4	Unknown Holozoa phylum 4	20
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 5	Unknown Holozoa phylum 5	16
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 6	Unknown Holozoa phylum 6	16
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 7	Unknown Holozoa phylum 7	16
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 8	Unknown Holozoa phylum 8	8
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 9	Unknown Holozoa phylum 9	2
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 10	Unknown Holozoa phylum 10	2
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 11	Unknown Holozoa phylum 11	2
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 12	Unknown Holozoa phylum 12	2
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi	Fungi	59779
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Nucleariidae and Fonticula group	Nucleariidae and Fonticula group	0
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 1	Unknown Nucletmycea phylum 1	324
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 2	Unknown Nucletmycea phylum 2	10
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 3	Unknown Nucletmycea phylum 3	2
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 4	Unknown Nucletmycea phylum 4	2
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 5	Unknown Nucletmycea phylum 5	2
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 6	Unknown Nucletmycea phylum 6	2
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 7	Unknown Nucletmycea phylum 7	2
phylum	Main genome;Eukaryota;Opisthokonta;Aphelidea;Paraphelidium	Paraphelidium	0
