Rank	Taxonpath	Taxon	Lucas0038
root	root	root	285477
meta	Main genome	Main genome	0
meta	Chloroplast	Chloroplast	45002
meta	No hits	No hits	16805
domain	Main genome;Bacteria	Bacteria	87
domain	Main genome;Eukaryota	Eukaryota	237757
domain	Main genome;Archaea	Archaea	2469
domain	Chloroplast;Eukaryota (Chloroplast)	Eukaryota (Chloroplast)	0
domain	Chloroplast;Bacteria (Chloroplast)	Bacteria (Chloroplast)	0
superkingdom	Main genome;Bacteria;Proteobacteria	Proteobacteria	0
superkingdom	Main genome;Bacteria;Actinobacteria	Actinobacteria	0
superkingdom	Main genome;Bacteria;Verrucomicrobia	Verrucomicrobia	0
superkingdom	Main genome;Bacteria;Acidobacteria	Acidobacteria	28
superkingdom	Main genome;Bacteria;Chloroflexi	Chloroflexi	0
superkingdom	Main genome;Bacteria;Planctomycetes	Planctomycetes	0
superkingdom	Main genome;Bacteria;Gemmatimonadetes	Gemmatimonadetes	0
superkingdom	Main genome;Eukaryota;Opisthokonta	Opisthokonta	166303
superkingdom	Main genome;Eukaryota;SAR	SAR	44757
superkingdom	Main genome;Eukaryota;Excavata	Excavata	700
superkingdom	Main genome;Eukaryota;Haptophyta	Haptophyta	4
superkingdom	Main genome;Eukaryota;Cryptophyceae	Cryptophyceae	0
superkingdom	Main genome;Eukaryota;Amoebozoa	Amoebozoa	15327
superkingdom	Main genome;Eukaryota;Eukaryota incertae sedis	Eukaryota incertae sedis	0
superkingdom	Main genome;Eukaryota;Centrohelida	Centrohelida	112
superkingdom	Main genome;Archaea;Crenarchaeota	Crenarchaeota	0
superkingdom	Main genome;Archaea;Thaumarchaeota	Thaumarchaeota	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast)	Archaeplastida (Chloroplast)	0
superkingdom	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast)	Cyanobacteria (Chloroplast)	0
kingdom	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria	Gammaproteobacteria	6
kingdom	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria	Deltaproteobacteria	8
kingdom	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom)	Actinobacteria (kingdom)	17
kingdom	Main genome;Bacteria;Actinobacteria;Thermoleophilia	Thermoleophilia	0
kingdom	Main genome;Bacteria;Actinobacteria;MB-A2-108	MB-A2-108	2
kingdom	Main genome;Bacteria;Verrucomicrobia;Verrucomicrobiae	Verrucomicrobiae	0
kingdom	Main genome;Bacteria;Acidobacteria;Subgroup 6	Subgroup 6	26
kingdom	Main genome;Bacteria;Acidobacteria;Holophagae	Holophagae	0
kingdom	Main genome;Bacteria;Acidobacteria;Subgroup 17	Subgroup 17	2
kingdom	Main genome;Bacteria;Chloroflexi;Chloroflexia	Chloroflexia	0
kingdom	Main genome;Bacteria;Planctomycetes;Planctomycetacia	Planctomycetacia	0
kingdom	Main genome;Bacteria;Gemmatimonadetes;Longimicrobia	Longimicrobia	0
kingdom	Main genome;Eukaryota;Opisthokonta;Holozoa	Holozoa	17036
kingdom	Main genome;Eukaryota;Opisthokonta;Nucletmycea	Nucletmycea	147420
kingdom	Main genome;Eukaryota;Opisthokonta;Aphelidea	Aphelidea	385
kingdom	Main genome;Eukaryota;SAR;Stramenopiles	Stramenopiles	7009
kingdom	Main genome;Eukaryota;SAR;Alveolata	Alveolata	4817
kingdom	Main genome;Eukaryota;SAR;Rhizaria	Rhizaria	0
kingdom	Main genome;Eukaryota;Excavata;Discoba	Discoba	0
kingdom	Main genome;Eukaryota;Excavata;Malawimonas	Malawimonas	0
kingdom	Main genome;Eukaryota;Cryptophyceae;Goniomonas	Goniomonas	13
kingdom	Main genome;Eukaryota;Amoebozoa;Protosporangiida	Protosporangiida	0
kingdom	Main genome;Eukaryota;Amoebozoa;Gracilipodida	Gracilipodida	315
kingdom	Main genome;Eukaryota;Amoebozoa;Tubulinea	Tubulinea	7585
kingdom	Main genome;Eukaryota;Amoebozoa;Discosea	Discosea	1732
kingdom	Main genome;Eukaryota;Amoebozoa;Protosteliida	Protosteliida	282
kingdom	Main genome;Eukaryota;Amoebozoa;Cavosteliida	Cavosteliida	511
kingdom	Main genome;Eukaryota;Amoebozoa;Amoebozoa incertae sedis	Amoebozoa incertae sedis	1083
kingdom	Main genome;Eukaryota;Amoebozoa;Myxogastria	Myxogastria	1859
kingdom	Main genome;Eukaryota;Amoebozoa;Schizoplasmodiida	Schizoplasmodiida	228
kingdom	Main genome;Eukaryota;Amoebozoa;Mycamoeba	Mycamoeba	481
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Apusomonadidae	Apusomonadidae	0
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Breviatea	Breviatea	6
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Rigifilida	Rigifilida	2
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Telonema	Telonema	8
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Palpitomonas	Palpitomonas	4
kingdom	Main genome;Eukaryota;Centrohelida;Heterophryidae	Heterophryidae	0
kingdom	Main genome;Eukaryota;Centrohelida;Acanthocystidae	Acanthocystidae	31
kingdom	Main genome;Eukaryota;Centrohelida;H1-10	H1-10	2
kingdom	Main genome;Archaea;Crenarchaeota;Bathyarchaeia	Bathyarchaeia	5
kingdom	Main genome;Archaea;Thaumarchaeota;Nitrososphaeria	Nitrososphaeria	2455
kingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast);Chloroplastida (Chloroplast)	Chloroplastida (Chloroplast)	44904
kingdom	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast);Oxyphotobacteria (Chloroplast)	Oxyphotobacteria (Chloroplast)	2
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	Pseudomonadales	0
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis	Gammaproteobacteria Incertae Sedis	0
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales	Steroidobacterales	0
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;PLTA13	PLTA13	3
