Rank	Taxonpath	Taxon	Lucas0209
root	root	root	46366
meta	Main genome	Main genome	0
meta	Chloroplast	Chloroplast	30128
meta	No hits	No hits	683
domain	Main genome;Bacteria	Bacteria	0
domain	Main genome;Eukaryota	Eukaryota	16102
domain	Main genome;Archaea	Archaea	12
domain	Chloroplast;Eukaryota (Chloroplast)	Eukaryota (Chloroplast)	0
superkingdom	Main genome;Bacteria;Firmicutes	Firmicutes	0
superkingdom	Main genome;Eukaryota;Opisthokonta	Opisthokonta	9600
superkingdom	Main genome;Eukaryota;SAR	SAR	5873
superkingdom	Main genome;Eukaryota;Excavata	Excavata	28
superkingdom	Main genome;Eukaryota;Cryptophyceae	Cryptophyceae	0
superkingdom	Main genome;Eukaryota;Amoebozoa	Amoebozoa	274
superkingdom	Main genome;Eukaryota;Eukaryota incertae sedis	Eukaryota incertae sedis	0
superkingdom	Main genome;Eukaryota;Centrohelida	Centrohelida	0
superkingdom	Main genome;Archaea;Thaumarchaeota	Thaumarchaeota	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast)	Archaeplastida (Chloroplast)	0
kingdom	Main genome;Bacteria;Firmicutes;Bacilli	Bacilli	0
kingdom	Main genome;Eukaryota;Opisthokonta;Holozoa	Holozoa	2253
kingdom	Main genome;Eukaryota;Opisthokonta;Nucletmycea	Nucletmycea	0
kingdom	Main genome;Eukaryota;Opisthokonta;Aphelidea	Aphelidea	11
kingdom	Main genome;Eukaryota;SAR;Stramenopiles	Stramenopiles	0
kingdom	Main genome;Eukaryota;SAR;Alveolata	Alveolata	0
kingdom	Main genome;Eukaryota;SAR;Rhizaria	Rhizaria	0
kingdom	Main genome;Eukaryota;Excavata;Discoba	Discoba	0
kingdom	Main genome;Eukaryota;Excavata;Metamonada	Metamonada	0
kingdom	Main genome;Eukaryota;Excavata;Malawimonas	Malawimonas	0
kingdom	Main genome;Eukaryota;Cryptophyceae;Goniomonas	Goniomonas	2
kingdom	Main genome;Eukaryota;Amoebozoa;Gracilipodida	Gracilipodida	12
kingdom	Main genome;Eukaryota;Amoebozoa;Tubulinea	Tubulinea	136
kingdom	Main genome;Eukaryota;Amoebozoa;Discosea	Discosea	8
kingdom	Main genome;Eukaryota;Amoebozoa;Protosteliida	Protosteliida	8
kingdom	Main genome;Eukaryota;Amoebozoa;Cavosteliida	Cavosteliida	6
kingdom	Main genome;Eukaryota;Amoebozoa;Amoebozoa incertae sedis	Amoebozoa incertae sedis	26
kingdom	Main genome;Eukaryota;Amoebozoa;Schizoplasmodiida	Schizoplasmodiida	9
kingdom	Main genome;Eukaryota;Amoebozoa;Mycamoeba	Mycamoeba	5
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Apusomonadidae	Apusomonadidae	4
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Breviatea	Breviatea	0
kingdom	Main genome;Eukaryota;Centrohelida;H1-10	H1-10	3
kingdom	Main genome;Archaea;Thaumarchaeota;Nitrososphaeria	Nitrososphaeria	0
kingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast);Chloroplastida (Chloroplast)	Chloroplastida (Chloroplast)	29662
phylum	Main genome;Bacteria;Firmicutes;Bacilli;Bacillales	Bacillales	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia)	Metazoa (Animalia)	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Ichthyosporea	Ichthyosporea	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Choanoflagellida	Choanoflagellida	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Filasterea	Filasterea	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 1	Unknown Holozoa phylum 1	2
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi	Fungi	6924
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Nucleariidae and Fonticula group	Nucleariidae and Fonticula group	0
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 1	Unknown Nucletmycea phylum 1	2
