Rank	Taxonpath	Taxon	Lucas0112
root	root	root	126215
meta	Main genome	Main genome	0
meta	Chloroplast	Chloroplast	38301
meta	No hits	No hits	4569
domain	Main genome;Bacteria	Bacteria	2
domain	Main genome;Eukaryota	Eukaryota	87445
domain	Main genome;Archaea	Archaea	361
domain	Chloroplast;Eukaryota (Chloroplast)	Eukaryota (Chloroplast)	0
superkingdom	Main genome;Bacteria;Proteobacteria	Proteobacteria	0
superkingdom	Main genome;Bacteria;Acidobacteria	Acidobacteria	0
superkingdom	Main genome;Bacteria;Planctomycetes	Planctomycetes	0
superkingdom	Main genome;Bacteria;Gemmatimonadetes	Gemmatimonadetes	0
superkingdom	Main genome;Eukaryota;Opisthokonta	Opisthokonta	69893
superkingdom	Main genome;Eukaryota;SAR	SAR	12984
superkingdom	Main genome;Eukaryota;Excavata	Excavata	199
superkingdom	Main genome;Eukaryota;Cryptophyceae	Cryptophyceae	0
superkingdom	Main genome;Eukaryota;Amoebozoa	Amoebozoa	3645
superkingdom	Main genome;Eukaryota;Eukaryota incertae sedis	Eukaryota incertae sedis	53
superkingdom	Main genome;Eukaryota;NAMAKO-1	NAMAKO-1	2
superkingdom	Main genome;Eukaryota;Centrohelida	Centrohelida	10
superkingdom	Main genome;Archaea;Thaumarchaeota	Thaumarchaeota	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast)	Archaeplastida (Chloroplast)	0
kingdom	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria	Alphaproteobacteria	0
kingdom	Main genome;Bacteria;Acidobacteria;Subgroup 6	Subgroup 6	2
kingdom	Main genome;Bacteria;Planctomycetes;Planctomycetacia	Planctomycetacia	0
kingdom	Main genome;Bacteria;Gemmatimonadetes;Gemmatimonadetes (kingdom)	Gemmatimonadetes (kingdom)	0
kingdom	Main genome;Eukaryota;Opisthokonta;Holozoa	Holozoa	2805
kingdom	Main genome;Eukaryota;Opisthokonta;Nucletmycea	Nucletmycea	0
kingdom	Main genome;Eukaryota;Opisthokonta;Aphelidea	Aphelidea	56
kingdom	Main genome;Eukaryota;SAR;Stramenopiles	Stramenopiles	0
kingdom	Main genome;Eukaryota;SAR;Alveolata	Alveolata	3845
