Rank	Taxonpath	Taxon	Lucas0197
root	root	root	155131
meta	Main genome	Main genome	0
meta	Chloroplast	Chloroplast	26175
meta	No hits	No hits	10856
domain	Main genome;Bacteria	Bacteria	74
domain	Main genome;Eukaryota	Eukaryota	127667
domain	Main genome;Archaea	Archaea	1174
domain	Chloroplast;Eukaryota (Chloroplast)	Eukaryota (Chloroplast)	0
superkingdom	Main genome;Bacteria;Proteobacteria	Proteobacteria	4
superkingdom	Main genome;Bacteria;Actinobacteria	Actinobacteria	0
superkingdom	Main genome;Bacteria;Verrucomicrobia	Verrucomicrobia	0
superkingdom	Main genome;Bacteria;Acidobacteria	Acidobacteria	0
superkingdom	Main genome;Bacteria;Planctomycetes	Planctomycetes	0
superkingdom	Main genome;Eukaryota;Opisthokonta	Opisthokonta	98412
superkingdom	Main genome;Eukaryota;SAR	SAR	22873
superkingdom	Main genome;Eukaryota;Archaeplastida	Archaeplastida	0
superkingdom	Main genome;Eukaryota;Excavata	Excavata	299
superkingdom	Main genome;Eukaryota;Haptophyta	Haptophyta	10
superkingdom	Main genome;Eukaryota;Cryptophyceae	Cryptophyceae	0
superkingdom	Main genome;Eukaryota;Amoebozoa	Amoebozoa	5455
superkingdom	Main genome;Eukaryota;Eukaryota incertae sedis	Eukaryota incertae sedis	0
superkingdom	Main genome;Eukaryota;Centrohelida	Centrohelida	68
superkingdom	Main genome;Eukaryota;Picozoa	Picozoa	7
superkingdom	Main genome;Archaea;Euryarchaeota	Euryarchaeota	0
superkingdom	Main genome;Archaea;Thaumarchaeota	Thaumarchaeota	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast)	Archaeplastida (Chloroplast)	0
kingdom	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria	Gammaproteobacteria	0
kingdom	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria	Deltaproteobacteria	7
kingdom	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom)	Actinobacteria (kingdom)	45
kingdom	Main genome;Bacteria;Verrucomicrobia;Verrucomicrobiae	Verrucomicrobiae	0
kingdom	Main genome;Bacteria;Acidobacteria;Subgroup 6	Subgroup 6	2
kingdom	Main genome;Bacteria;Planctomycetes;Planctomycetacia	Planctomycetacia	0
kingdom	Main genome;Eukaryota;Opisthokonta;Holozoa	Holozoa	6602
kingdom	Main genome;Eukaryota;Opisthokonta;Nucletmycea	Nucletmycea	90022
kingdom	Main genome;Eukaryota;Opisthokonta;Aphelidea	Aphelidea	13
kingdom	Main genome;Eukaryota;SAR;Stramenopiles	Stramenopiles	1791
kingdom	Main genome;Eukaryota;SAR;Alveolata	Alveolata	8406
kingdom	Main genome;Eukaryota;SAR;Rhizaria	Rhizaria	0
kingdom	Main genome;Eukaryota;Archaeplastida;Rhodophyceae	Rhodophyceae	0
kingdom	Main genome;Eukaryota;Excavata;Discoba	Discoba	0
kingdom	Main genome;Eukaryota;Cryptophyceae;Goniomonas	Goniomonas	45
kingdom	Main genome;Eukaryota;Amoebozoa;Gracilipodida	Gracilipodida	190
kingdom	Main genome;Eukaryota;Amoebozoa;Tubulinea	Tubulinea	3680
