Rank	Taxonpath	Taxon	Lucas0501
root	root	root	116666
meta	Main genome	Main genome	0
meta	Chloroplast	Chloroplast	2300
meta	No hits	No hits	8000
domain	Main genome;Bacteria	Bacteria	255
domain	Main genome;Eukaryota	Eukaryota	113041
domain	Main genome;Archaea	Archaea	1159
domain	Chloroplast;Eukaryota (Chloroplast)	Eukaryota (Chloroplast)	0
superkingdom	Main genome;Bacteria;Proteobacteria	Proteobacteria	10
superkingdom	Main genome;Bacteria;Actinobacteria	Actinobacteria	141
superkingdom	Main genome;Bacteria;Firmicutes	Firmicutes	0
superkingdom	Main genome;Bacteria;Acidobacteria	Acidobacteria	0
superkingdom	Main genome;Bacteria;Chloroflexi	Chloroflexi	0
superkingdom	Main genome;Bacteria;Planctomycetes	Planctomycetes	0
superkingdom	Main genome;Bacteria;Gemmatimonadetes	Gemmatimonadetes	0
superkingdom	Main genome;Eukaryota;Opisthokonta	Opisthokonta	87537
superkingdom	Main genome;Eukaryota;SAR	SAR	20982
superkingdom	Main genome;Eukaryota;Archaeplastida	Archaeplastida	0
superkingdom	Main genome;Eukaryota;Excavata	Excavata	69
superkingdom	Main genome;Eukaryota;Haptophyta	Haptophyta	0
superkingdom	Main genome;Eukaryota;Cryptophyceae	Cryptophyceae	0
superkingdom	Main genome;Eukaryota;Amoebozoa	Amoebozoa	2865
superkingdom	Main genome;Eukaryota;Eukaryota incertae sedis	Eukaryota incertae sedis	423
superkingdom	Main genome;Eukaryota;Centrohelida	Centrohelida	10
superkingdom	Main genome;Archaea;Crenarchaeota	Crenarchaeota	0
superkingdom	Main genome;Archaea;Thaumarchaeota	Thaumarchaeota	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast)	Archaeplastida (Chloroplast)	0
kingdom	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria	Gammaproteobacteria	5
kingdom	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria	Alphaproteobacteria	0
kingdom	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria	Deltaproteobacteria	0
kingdom	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom)	Actinobacteria (kingdom)	128
kingdom	Main genome;Bacteria;Actinobacteria;Acidimicrobiia	Acidimicrobiia	0
kingdom	Main genome;Bacteria;Firmicutes;Bacilli	Bacilli	0
kingdom	Main genome;Bacteria;Acidobacteria;Subgroup 6	Subgroup 6	3
kingdom	Main genome;Bacteria;Chloroflexi;Chloroflexia	Chloroflexia	0
kingdom	Main genome;Bacteria;Chloroflexi;AD3	AD3	15
kingdom	Main genome;Bacteria;Planctomycetes;Planctomycetacia	Planctomycetacia	0
kingdom	Main genome;Bacteria;Gemmatimonadetes;Gemmatimonadetes (kingdom)	Gemmatimonadetes (kingdom)	0
kingdom	Main genome;Eukaryota;Opisthokonta;Holozoa	Holozoa	11127
kingdom	Main genome;Eukaryota;Opisthokonta;Nucletmycea	Nucletmycea	75520
kingdom	Main genome;Eukaryota;Opisthokonta;Aphelidea	Aphelidea	5
kingdom	Main genome;Eukaryota;SAR;Stramenopiles	Stramenopiles	0
kingdom	Main genome;Eukaryota;SAR;Alveolata	Alveolata	3316
kingdom	Main genome;Eukaryota;SAR;Rhizaria	Rhizaria	0
kingdom	Main genome;Eukaryota;Archaeplastida;Rhodophyceae	Rhodophyceae	0
kingdom	Main genome;Eukaryota;Excavata;Discoba	Discoba	0
kingdom	Main genome;Eukaryota;Excavata;Malawimonas	Malawimonas	0
kingdom	Main genome;Eukaryota;Haptophyta;Pavlovophyceae	Pavlovophyceae	0
kingdom	Main genome;Eukaryota;Cryptophyceae;Goniomonas	Goniomonas	55
kingdom	Main genome;Eukaryota;Cryptophyceae;Kathablepharidae	Kathablepharidae	0
kingdom	Main genome;Eukaryota;Amoebozoa;Gracilipodida	Gracilipodida	279
kingdom	Main genome;Eukaryota;Amoebozoa;Tubulinea	Tubulinea	942
kingdom	Main genome;Eukaryota;Amoebozoa;Discosea	Discosea	584
kingdom	Main genome;Eukaryota;Amoebozoa;Protosteliida	Protosteliida	196
kingdom	Main genome;Eukaryota;Amoebozoa;Cavosteliida	Cavosteliida	67
kingdom	Main genome;Eukaryota;Amoebozoa;Amoebozoa incertae sedis	Amoebozoa incertae sedis	400
kingdom	Main genome;Eukaryota;Amoebozoa;Myxogastria	Myxogastria	25
kingdom	Main genome;Eukaryota;Amoebozoa;Schizoplasmodiida	Schizoplasmodiida	178
kingdom	Main genome;Eukaryota;Amoebozoa;Mycamoeba	Mycamoeba	6
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Apusomonadidae	Apusomonadidae	0
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Breviatea	Breviatea	0
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Palustrimonas	Palustrimonas	0
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Ancyromonadida	Ancyromonadida	0
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Rigifilida	Rigifilida	0
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Telonema	Telonema	4
kingdom	Main genome;Eukaryota;Centrohelida;H1-10	H1-10	2
kingdom	Main genome;Eukaryota;Centrohelida;Raphidiophryidae	Raphidiophryidae	0
kingdom	Main genome;Archaea;Crenarchaeota;Bathyarchaeia	Bathyarchaeia	5
kingdom	Main genome;Archaea;Thaumarchaeota;Nitrososphaeria	Nitrososphaeria	1134
kingdom	Main genome;Archaea;Thaumarchaeota;Group 1.1c	Group 1.1c	3
kingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast);Chloroplastida (Chloroplast)	Chloroplastida (Chloroplast)	2221
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales	Betaproteobacteriales	0
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis	Gammaproteobacteria Incertae Sedis	0
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;WD260	WD260	2
phylum	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Azospirillales	Azospirillales	0
phylum	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales	Myxococcales	5
phylum	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);Pseudonocardiales	Pseudonocardiales	0
phylum	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);Frankiales	Frankiales	0
phylum	Main genome;Bacteria;Actinobacteria;Acidimicrobiia;IMCC26256	IMCC26256	9
phylum	Main genome;Bacteria;Firmicutes;Bacilli;Bacillales	Bacillales	0
phylum	Main genome;Bacteria;Chloroflexi;Chloroflexia;Kallotenuales	Kallotenuales	0
phylum	Main genome;Bacteria;Planctomycetes;Planctomycetacia;Isosphaerales	Isosphaerales	0
phylum	Main genome;Bacteria;Planctomycetes;Planctomycetacia;Pirellulales	Pirellulales	0
phylum	Main genome;Bacteria;Planctomycetes;Planctomycetacia;Gemmatales	Gemmatales	0
phylum	Main genome;Bacteria;Gemmatimonadetes;Gemmatimonadetes (kingdom);Gemmatimonadales	Gemmatimonadales	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia)	Metazoa (Animalia)	10468
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Ichthyosporea	Ichthyosporea	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Choanoflagellida	Choanoflagellida	144
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Filasterea	Filasterea	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 1	Unknown Holozoa phylum 1	12
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 2	Unknown Holozoa phylum 2	4
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 3	Unknown Holozoa phylum 3	2
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 4	Unknown Holozoa phylum 4	2
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi	Fungi	76190
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Nucleariidae and Fonticula group	Nucleariidae and Fonticula group	0
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 1	Unknown Nucletmycea phylum 1	2
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 2	Unknown Nucletmycea phylum 2	2
phylum	Main genome;Eukaryota;Opisthokonta;Aphelidea;Aphelidium	Aphelidium	2
phylum	Main genome;Eukaryota;SAR;Stramenopiles;Ochrophyta	Ochrophyta	477
phylum	Main genome;Eukaryota;SAR;Stramenopiles;Peronosporomycetes	Peronosporomycetes	3768
phylum	Main genome;Eukaryota;SAR;Stramenopiles;Labyrinthulomycetes	Labyrinthulomycetes	47
phylum	Main genome;Eukaryota;SAR;Stramenopiles;Bicosoecida	Bicosoecida	0
phylum	Main genome;Eukaryota;SAR;Stramenopiles;Hyphochytriomycetes	Hyphochytriomycetes	0
phylum	Main genome;Eukaryota;SAR;Stramenopiles;MAST-12	MAST-12	0
phylum	Main genome;Eukaryota;SAR;Stramenopiles;Unknown Stramenopiles phylum 1	Unknown Stramenopiles phylum 1	6
phylum	Main genome;Eukaryota;SAR;Stramenopiles;Unknown Stramenopiles phylum 2	Unknown Stramenopiles phylum 2	2
