Rank	Taxonpath	Taxon	Lucas0021
root	root	root	111466
meta	Main genome	Main genome	0
meta	Chloroplast	Chloroplast	4325
meta	No hits	No hits	12276
domain	Main genome;Bacteria	Bacteria	106
domain	Main genome;Eukaryota	Eukaryota	106489
domain	Main genome;Archaea	Archaea	534
domain	Chloroplast;Eukaryota (Chloroplast)	Eukaryota (Chloroplast)	0
superkingdom	Main genome;Bacteria;Proteobacteria	Proteobacteria	0
superkingdom	Main genome;Bacteria;Actinobacteria	Actinobacteria	0
superkingdom	Main genome;Bacteria;Bacteroidetes	Bacteroidetes	0
superkingdom	Main genome;Bacteria;Firmicutes	Firmicutes	0
superkingdom	Main genome;Bacteria;Verrucomicrobia	Verrucomicrobia	0
superkingdom	Main genome;Bacteria;Acidobacteria	Acidobacteria	0
superkingdom	Main genome;Bacteria;Planctomycetes	Planctomycetes	0
superkingdom	Main genome;Bacteria;Gemmatimonadetes	Gemmatimonadetes	0
superkingdom	Main genome;Eukaryota;Opisthokonta	Opisthokonta	57868
superkingdom	Main genome;Eukaryota;SAR	SAR	35363
superkingdom	Main genome;Eukaryota;Excavata	Excavata	0
superkingdom	Main genome;Eukaryota;Amoebozoa	Amoebozoa	7930
superkingdom	Main genome;Eukaryota;Eukaryota incertae sedis	Eukaryota incertae sedis	9
superkingdom	Main genome;Eukaryota;Centrohelida	Centrohelida	33
superkingdom	Main genome;Archaea;Thaumarchaeota	Thaumarchaeota	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast)	Archaeplastida (Chloroplast)	0
kingdom	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria	Gammaproteobacteria	7
kingdom	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria	Deltaproteobacteria	19
kingdom	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom)	Actinobacteria (kingdom)	14
kingdom	Main genome;Bacteria;Bacteroidetes;Bacteroidia	Bacteroidia	0
kingdom	Main genome;Bacteria;Firmicutes;Negativicutes	Negativicutes	0
kingdom	Main genome;Bacteria;Verrucomicrobia;Verrucomicrobiae	Verrucomicrobiae	0
kingdom	Main genome;Bacteria;Acidobacteria;Thermoanaerobaculia	Thermoanaerobaculia	0
kingdom	Main genome;Bacteria;Acidobacteria;Holophagae	Holophagae	0
kingdom	Main genome;Bacteria;Planctomycetes;Planctomycetacia	Planctomycetacia	0
kingdom	Main genome;Bacteria;Gemmatimonadetes;Gemmatimonadetes (kingdom)	Gemmatimonadetes (kingdom)	0
kingdom	Main genome;Eukaryota;Opisthokonta;Holozoa	Holozoa	3765
kingdom	Main genome;Eukaryota;Opisthokonta;Nucletmycea	Nucletmycea	0
kingdom	Main genome;Eukaryota;Opisthokonta;Aphelidea	Aphelidea	137
kingdom	Main genome;Eukaryota;SAR;Stramenopiles	Stramenopiles	8011
kingdom	Main genome;Eukaryota;SAR;Alveolata	Alveolata	2944
kingdom	Main genome;Eukaryota;SAR;Rhizaria	Rhizaria	0
kingdom	Main genome;Eukaryota;Excavata;Discoba	Discoba	0
kingdom	Main genome;Eukaryota;Excavata;Metamonada	Metamonada	0
kingdom	Main genome;Eukaryota;Excavata;Malawimonas	Malawimonas	0
kingdom	Main genome;Eukaryota;Amoebozoa;Protosporangiida	Protosporangiida	0
kingdom	Main genome;Eukaryota;Amoebozoa;Gracilipodida	Gracilipodida	323
kingdom	Main genome;Eukaryota;Amoebozoa;Tubulinea	Tubulinea	0
kingdom	Main genome;Eukaryota;Amoebozoa;Discosea	Discosea	562
kingdom	Main genome;Eukaryota;Amoebozoa;Protosteliida	Protosteliida	46
kingdom	Main genome;Eukaryota;Amoebozoa;Cavosteliida	Cavosteliida	17
kingdom	Main genome;Eukaryota;Amoebozoa;Amoebozoa incertae sedis	Amoebozoa incertae sedis	184
kingdom	Main genome;Eukaryota;Amoebozoa;Myxogastria	Myxogastria	72
kingdom	Main genome;Eukaryota;Amoebozoa;Schizoplasmodiida	Schizoplasmodiida	172
kingdom	Main genome;Eukaryota;Amoebozoa;Fractovitelliida	Fractovitelliida	0
kingdom	Main genome;Eukaryota;Amoebozoa;Mycamoeba	Mycamoeba	196
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Apusomonadidae	Apusomonadidae	2
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Breviatea	Breviatea	14
kingdom	Main genome;Eukaryota;Centrohelida;H15-6	H15-6	3
kingdom	Main genome;Eukaryota;Centrohelida;H1-10	H1-10	8
kingdom	Main genome;Eukaryota;Centrohelida;CV1-B1-93	CV1-B1-93	17
kingdom	Main genome;Archaea;Thaumarchaeota;Nitrososphaeria	Nitrososphaeria	422
kingdom	Main genome;Archaea;Thaumarchaeota;Group 1.1c	Group 1.1c	2
kingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast);Chloroplastida (Chloroplast)	Chloroplastida (Chloroplast)	3540
