Rank	Taxonpath	Taxon	Lucas0193
root	root	root	190946
meta	Main genome	Main genome	0
meta	Chloroplast	Chloroplast	45654
meta	No hits	No hits	7169
domain	Main genome;Bacteria	Bacteria	75
domain	Main genome;Eukaryota	Eukaryota	144799
domain	Main genome;Archaea	Archaea	325
domain	Chloroplast;Eukaryota (Chloroplast)	Eukaryota (Chloroplast)	0
superkingdom	Main genome;Bacteria;Proteobacteria	Proteobacteria	0
superkingdom	Main genome;Bacteria;Actinobacteria	Actinobacteria	0
superkingdom	Main genome;Bacteria;Verrucomicrobia	Verrucomicrobia	0
superkingdom	Main genome;Bacteria;Acidobacteria	Acidobacteria	0
superkingdom	Main genome;Bacteria;Planctomycetes	Planctomycetes	0
superkingdom	Main genome;Eukaryota;Opisthokonta	Opisthokonta	134926
superkingdom	Main genome;Eukaryota;SAR	SAR	7825
superkingdom	Main genome;Eukaryota;Excavata	Excavata	98
superkingdom	Main genome;Eukaryota;Amoebozoa	Amoebozoa	1174
superkingdom	Main genome;Eukaryota;Eukaryota incertae sedis	Eukaryota incertae sedis	0
superkingdom	Main genome;Eukaryota;NAMAKO-1	NAMAKO-1	20
superkingdom	Main genome;Eukaryota;Centrohelida	Centrohelida	0
superkingdom	Main genome;Eukaryota;Picozoa	Picozoa	3
superkingdom	Main genome;Archaea;Crenarchaeota	Crenarchaeota	0
superkingdom	Main genome;Archaea;Thaumarchaeota	Thaumarchaeota	315
superkingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast)	Archaeplastida (Chloroplast)	0
kingdom	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria	Gammaproteobacteria	4
kingdom	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria	Alphaproteobacteria	0
kingdom	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria	Deltaproteobacteria	0
kingdom	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom)	Actinobacteria (kingdom)	0
kingdom	Main genome;Bacteria;Verrucomicrobia;Verrucomicrobiae	Verrucomicrobiae	0
kingdom	Main genome;Bacteria;Acidobacteria;Holophagae	Holophagae	0
kingdom	Main genome;Bacteria;Planctomycetes;Planctomycetacia	Planctomycetacia	0
kingdom	Main genome;Bacteria;Planctomycetes;Phycisphaerae	Phycisphaerae	0
kingdom	Main genome;Bacteria;Planctomycetes;Pla4 lineage	Pla4 lineage	2
kingdom	Main genome;Eukaryota;Opisthokonta;Holozoa	Holozoa	3309
kingdom	Main genome;Eukaryota;Opisthokonta;Nucletmycea	Nucletmycea	130679
kingdom	Main genome;Eukaryota;Opisthokonta;Aphelidea	Aphelidea	72
kingdom	Main genome;Eukaryota;SAR;Stramenopiles	Stramenopiles	0
kingdom	Main genome;Eukaryota;SAR;Alveolata	Alveolata	1569
kingdom	Main genome;Eukaryota;SAR;Rhizaria	Rhizaria	0
kingdom	Main genome;Eukaryota;Excavata;Discoba	Discoba	0
kingdom	Main genome;Eukaryota;Amoebozoa;Protosporangiida	Protosporangiida	0
kingdom	Main genome;Eukaryota;Amoebozoa;Gracilipodida	Gracilipodida	21
kingdom	Main genome;Eukaryota;Amoebozoa;Tubulinea	Tubulinea	426
kingdom	Main genome;Eukaryota;Amoebozoa;Discosea	Discosea	126
kingdom	Main genome;Eukaryota;Amoebozoa;Protosteliida	Protosteliida	36
