Rank	Taxonpath	Taxon	Lucas0502
root	root	root	164521
meta	Main genome	Main genome	0
meta	Chloroplast	Chloroplast	19150
meta	No hits	No hits	15601
domain	Main genome;Bacteria	Bacteria	41
domain	Main genome;Eukaryota	Eukaryota	141906
domain	Main genome;Archaea	Archaea	3194
domain	Chloroplast;Eukaryota (Chloroplast)	Eukaryota (Chloroplast)	0
superkingdom	Main genome;Bacteria;Proteobacteria	Proteobacteria	0
superkingdom	Main genome;Bacteria;Actinobacteria	Actinobacteria	15
superkingdom	Main genome;Bacteria;Bacteroidetes	Bacteroidetes	0
superkingdom	Main genome;Bacteria;Acidobacteria	Acidobacteria	0
superkingdom	Main genome;Bacteria;Planctomycetes	Planctomycetes	0
superkingdom	Main genome;Eukaryota;Opisthokonta	Opisthokonta	105175
superkingdom	Main genome;Eukaryota;SAR	SAR	29253
superkingdom	Main genome;Eukaryota;Excavata	Excavata	287
superkingdom	Main genome;Eukaryota;Haptophyta	Haptophyta	2
superkingdom	Main genome;Eukaryota;Cryptophyceae	Cryptophyceae	0
superkingdom	Main genome;Eukaryota;Amoebozoa	Amoebozoa	4875
superkingdom	Main genome;Eukaryota;Eukaryota incertae sedis	Eukaryota incertae sedis	0
superkingdom	Main genome;Eukaryota;Centrohelida	Centrohelida	165
superkingdom	Main genome;Archaea;Crenarchaeota	Crenarchaeota	0
superkingdom	Main genome;Archaea;Thaumarchaeota	Thaumarchaeota	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast)	Archaeplastida (Chloroplast)	0
kingdom	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria	Gammaproteobacteria	5
kingdom	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria	Deltaproteobacteria	0
kingdom	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom)	Actinobacteria (kingdom)	17
kingdom	Main genome;Bacteria;Bacteroidetes;Bacteroidia	Bacteroidia	2
kingdom	Main genome;Bacteria;Acidobacteria;Subgroup 6	Subgroup 6	2
kingdom	Main genome;Bacteria;Acidobacteria;Holophagae	Holophagae	0
kingdom	Main genome;Bacteria;Planctomycetes;Planctomycetacia	Planctomycetacia	0
kingdom	Main genome;Eukaryota;Opisthokonta;Holozoa	Holozoa	48732
kingdom	Main genome;Eukaryota;Opisthokonta;Nucletmycea	Nucletmycea	55990
kingdom	Main genome;Eukaryota;Opisthokonta;Aphelidea	Aphelidea	79
kingdom	Main genome;Eukaryota;SAR;Stramenopiles	Stramenopiles	6883
kingdom	Main genome;Eukaryota;SAR;Alveolata	Alveolata	2994
kingdom	Main genome;Eukaryota;SAR;Rhizaria	Rhizaria	0
kingdom	Main genome;Eukaryota;Excavata;Discoba	Discoba	0
kingdom	Main genome;Eukaryota;Cryptophyceae;Goniomonas	Goniomonas	5
kingdom	Main genome;Eukaryota;Cryptophyceae;Kathablepharidae	Kathablepharidae	0
kingdom	Main genome;Eukaryota;Amoebozoa;Dictyostelia	Dictyostelia	0
kingdom	Main genome;Eukaryota;Amoebozoa;Protosporangiida	Protosporangiida	0
kingdom	Main genome;Eukaryota;Amoebozoa;Gracilipodida	Gracilipodida	413
kingdom	Main genome;Eukaryota;Amoebozoa;Tubulinea	Tubulinea	1882
kingdom	Main genome;Eukaryota;Amoebozoa;Discosea	Discosea	791
kingdom	Main genome;Eukaryota;Amoebozoa;Protosteliida	Protosteliida	93
kingdom	Main genome;Eukaryota;Amoebozoa;Cavosteliida	Cavosteliida	42
kingdom	Main genome;Eukaryota;Amoebozoa;Amoebozoa incertae sedis	Amoebozoa incertae sedis	369
kingdom	Main genome;Eukaryota;Amoebozoa;Myxogastria	Myxogastria	353
kingdom	Main genome;Eukaryota;Amoebozoa;Schizoplasmodiida	Schizoplasmodiida	447
kingdom	Main genome;Eukaryota;Amoebozoa;Mycamoeba	Mycamoeba	68
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Apusomonadidae	Apusomonadidae	30
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Breviatea	Breviatea	0
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Ancyromonadida	Ancyromonadida	0
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Telonema	Telonema	17
kingdom	Main genome;Eukaryota;Centrohelida;Heterophryidae	Heterophryidae	4
kingdom	Main genome;Eukaryota;Centrohelida;Acanthocystidae	Acanthocystidae	31
kingdom	Main genome;Eukaryota;Centrohelida;H15-6	H15-6	4
kingdom	Main genome;Eukaryota;Centrohelida;H1-10	H1-10	33
kingdom	Main genome;Eukaryota;Centrohelida;CV1-B1-93	CV1-B1-93	8
kingdom	Main genome;Archaea;Crenarchaeota;Bathyarchaeia	Bathyarchaeia	3
