Rank	Taxonpath	Taxon	Lucas0198
root	root	root	241049
meta	Main genome	Main genome	138770
meta	Chloroplast	Chloroplast	100357
meta	No hits	No hits	11828
domain	Main genome;Bacteria	Bacteria	89
domain	Main genome;Eukaryota	Eukaryota	139097
domain	Main genome;Archaea	Archaea	1605
domain	Chloroplast;Eukaryota (Chloroplast)	Eukaryota (Chloroplast)	0
superkingdom	Main genome;Bacteria;Proteobacteria	Proteobacteria	32
superkingdom	Main genome;Bacteria;Actinobacteria	Actinobacteria	0
superkingdom	Main genome;Bacteria;Verrucomicrobia	Verrucomicrobia	0
superkingdom	Main genome;Bacteria;Acidobacteria	Acidobacteria	0
superkingdom	Main genome;Bacteria;Chloroflexi	Chloroflexi	0
superkingdom	Main genome;Bacteria;Planctomycetes	Planctomycetes	0
superkingdom	Main genome;Bacteria;Gemmatimonadetes	Gemmatimonadetes	0
superkingdom	Main genome;Bacteria;Fibrobacteres	Fibrobacteres	0
superkingdom	Main genome;Eukaryota;Opisthokonta	Opisthokonta	98308
superkingdom	Main genome;Eukaryota;SAR	SAR	27848
superkingdom	Main genome;Eukaryota;Archaeplastida	Archaeplastida	0
superkingdom	Main genome;Eukaryota;Excavata	Excavata	166
superkingdom	Main genome;Eukaryota;Haptophyta	Haptophyta	10
superkingdom	Main genome;Eukaryota;Cryptophyceae	Cryptophyceae	0
superkingdom	Main genome;Eukaryota;Amoebozoa	Amoebozoa	8339
superkingdom	Main genome;Eukaryota;Eukaryota incertae sedis	Eukaryota incertae sedis	944
superkingdom	Main genome;Eukaryota;NAMAKO-1	NAMAKO-1	22
superkingdom	Main genome;Eukaryota;Centrohelida	Centrohelida	97
superkingdom	Main genome;Archaea;Thaumarchaeota	Thaumarchaeota	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast)	Archaeplastida (Chloroplast)	0
kingdom	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria	Gammaproteobacteria	0
kingdom	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria	Deltaproteobacteria	0
kingdom	Main genome;Bacteria;Actinobacteria;Acidimicrobiia	Acidimicrobiia	0
kingdom	Main genome;Bacteria;Verrucomicrobia;Verrucomicrobiae	Verrucomicrobiae	0
kingdom	Main genome;Bacteria;Acidobacteria;Subgroup 6	Subgroup 6	2
kingdom	Main genome;Bacteria;Chloroflexi;Chloroflexia	Chloroflexia	0
kingdom	Main genome;Bacteria;Chloroflexi;Anaerolineae	Anaerolineae	0
kingdom	Main genome;Bacteria;Planctomycetes;Planctomycetacia	Planctomycetacia	0
kingdom	Main genome;Bacteria;Planctomycetes;Phycisphaerae	Phycisphaerae	0
kingdom	Main genome;Bacteria;Gemmatimonadetes;Gemmatimonadetes (kingdom)	Gemmatimonadetes (kingdom)	0
kingdom	Main genome;Bacteria;Fibrobacteres;Fibrobacteria	Fibrobacteria	0
kingdom	Main genome;Eukaryota;Opisthokonta;Holozoa	Holozoa	13205
kingdom	Main genome;Eukaryota;Opisthokonta;Nucletmycea	Nucletmycea	84368
kingdom	Main genome;Eukaryota;Opisthokonta;Aphelidea	Aphelidea	181
kingdom	Main genome;Eukaryota;SAR;Stramenopiles	Stramenopiles	0
kingdom	Main genome;Eukaryota;SAR;Alveolata	Alveolata	5322
kingdom	Main genome;Eukaryota;SAR;Rhizaria	Rhizaria	0
kingdom	Main genome;Eukaryota;Archaeplastida;Rhodophyceae	Rhodophyceae	0
kingdom	Main genome;Eukaryota;Excavata;Discoba	Discoba	0
