Rank	Taxonpath	Taxon	Lucas0003
root	root	root	288302
meta	Main genome	Main genome	236229
meta	Chloroplast	Chloroplast	51567
meta	No hits	No hits	26821
domain	Main genome;Bacteria	Bacteria	607
domain	Main genome;Eukaryota	Eukaryota	233770
domain	Main genome;Archaea	Archaea	1746
domain	Chloroplast;Eukaryota (Chloroplast)	Eukaryota (Chloroplast)	0
superkingdom	Main genome;Bacteria;Proteobacteria	Proteobacteria	117
superkingdom	Main genome;Bacteria;Actinobacteria	Actinobacteria	0
superkingdom	Main genome;Bacteria;Verrucomicrobia	Verrucomicrobia	0
superkingdom	Main genome;Bacteria;Acidobacteria	Acidobacteria	0
superkingdom	Main genome;Bacteria;Chloroflexi	Chloroflexi	0
superkingdom	Main genome;Bacteria;Planctomycetes	Planctomycetes	0
superkingdom	Main genome;Bacteria;Gemmatimonadetes	Gemmatimonadetes	0
superkingdom	Main genome;Eukaryota;Opisthokonta	Opisthokonta	114669
superkingdom	Main genome;Eukaryota;SAR	SAR	103763
superkingdom	Main genome;Eukaryota;Archaeplastida	Archaeplastida	0
superkingdom	Main genome;Eukaryota;Excavata	Excavata	877
superkingdom	Main genome;Eukaryota;Haptophyta	Haptophyta	2
superkingdom	Main genome;Eukaryota;Amoebozoa	Amoebozoa	13206
superkingdom	Main genome;Eukaryota;Eukaryota incertae sedis	Eukaryota incertae sedis	215
superkingdom	Main genome;Eukaryota;Centrohelida	Centrohelida	237
superkingdom	Main genome;Archaea;Crenarchaeota	Crenarchaeota	0
superkingdom	Main genome;Archaea;Thaumarchaeota	Thaumarchaeota	0
superkingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast)	Archaeplastida (Chloroplast)	0
kingdom	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria	Gammaproteobacteria	18
kingdom	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria	Alphaproteobacteria	0
kingdom	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria	Deltaproteobacteria	78
kingdom	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom)	Actinobacteria (kingdom)	27
kingdom	Main genome;Bacteria;Actinobacteria;Nitriliruptoria	Nitriliruptoria	0
kingdom	Main genome;Bacteria;Actinobacteria;MB-A2-108	MB-A2-108	2
kingdom	Main genome;Bacteria;Verrucomicrobia;Verrucomicrobiae	Verrucomicrobiae	0
kingdom	Main genome;Bacteria;Acidobacteria;Acidobacteriia	Acidobacteriia	0
kingdom	Main genome;Bacteria;Acidobacteria;Subgroup 6	Subgroup 6	0
kingdom	Main genome;Bacteria;Chloroflexi;Chloroflexia	Chloroflexia	0
kingdom	Main genome;Bacteria;Chloroflexi;Anaerolineae	Anaerolineae	0
kingdom	Main genome;Bacteria;Planctomycetes;Planctomycetacia	Planctomycetacia	0
kingdom	Main genome;Bacteria;Gemmatimonadetes;Gemmatimonadetes (kingdom)	Gemmatimonadetes (kingdom)	0
kingdom	Main genome;Bacteria;Gemmatimonadetes;S0134 terrestrial group	S0134 terrestrial group	2
kingdom	Main genome;Bacteria;Gemmatimonadetes;Longimicrobia	Longimicrobia	0
kingdom	Main genome;Eukaryota;Opisthokonta;Holozoa	Holozoa	14529
kingdom	Main genome;Eukaryota;Opisthokonta;Nucletmycea	Nucletmycea	99124
kingdom	Main genome;Eukaryota;Opisthokonta;Aphelidea	Aphelidea	231
kingdom	Main genome;Eukaryota;SAR;Stramenopiles	Stramenopiles	23312
kingdom	Main genome;Eukaryota;SAR;Alveolata	Alveolata	12817
kingdom	Main genome;Eukaryota;SAR;Rhizaria	Rhizaria	0
kingdom	Main genome;Eukaryota;Archaeplastida;Glaucophyta	Glaucophyta	0
kingdom	Main genome;Eukaryota;Excavata;Discoba	Discoba	0
kingdom	Main genome;Eukaryota;Excavata;Metamonada	Metamonada	0
kingdom	Main genome;Eukaryota;Amoebozoa;Protosporangiida	Protosporangiida	0
kingdom	Main genome;Eukaryota;Amoebozoa;Gracilipodida	Gracilipodida	746
kingdom	Main genome;Eukaryota;Amoebozoa;Tubulinea	Tubulinea	8040
kingdom	Main genome;Eukaryota;Amoebozoa;Discosea	Discosea	582
kingdom	Main genome;Eukaryota;Amoebozoa;Protosteliida	Protosteliida	697
kingdom	Main genome;Eukaryota;Amoebozoa;Cavosteliida	Cavosteliida	261
kingdom	Main genome;Eukaryota;Amoebozoa;Amoebozoa incertae sedis	Amoebozoa incertae sedis	550
kingdom	Main genome;Eukaryota;Amoebozoa;Myxogastria	Myxogastria	42
kingdom	Main genome;Eukaryota;Amoebozoa;Schizoplasmodiida	Schizoplasmodiida	514
kingdom	Main genome;Eukaryota;Amoebozoa;Mycamoeba	Mycamoeba	790
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Apusomonadidae	Apusomonadidae	56
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Breviatea	Breviatea	0
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Ancyromonadida	Ancyromonadida	0
kingdom	Main genome;Eukaryota;Eukaryota incertae sedis;Telonema	Telonema	69
kingdom	Main genome;Eukaryota;Centrohelida;Heterophryidae	Heterophryidae	0
kingdom	Main genome;Eukaryota;Centrohelida;Acanthocystidae	Acanthocystidae	0
kingdom	Main genome;Eukaryota;Centrohelida;H15-6	H15-6	20
kingdom	Main genome;Eukaryota;Centrohelida;H1-10	H1-10	45
kingdom	Main genome;Eukaryota;Centrohelida;CV1-B1-93	CV1-B1-93	7
kingdom	Main genome;Archaea;Crenarchaeota;Bathyarchaeia	Bathyarchaeia	6
kingdom	Main genome;Archaea;Thaumarchaeota;Nitrososphaeria	Nitrososphaeria	1693
kingdom	Main genome;Archaea;Thaumarchaeota;Group 1.1c	Group 1.1c	26
kingdom	Chloroplast;Eukaryota (Chloroplast);Archaeplastida (Chloroplast);Chloroplastida (Chloroplast)	Chloroplastida (Chloroplast)	51483
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales	Oceanospirillales	0
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales	Xanthomonadales	0
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales	Steroidobacterales	0
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;JG36-TzT-191	JG36-TzT-191	2
phylum	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales	Rhizobiales	0
phylum	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales	Myxococcales	54
phylum	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria;Oligoflexales	Oligoflexales	0
phylum	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);Streptomycetales	Streptomycetales	0
phylum	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);Pseudonocardiales	Pseudonocardiales	0
phylum	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);Corynebacteriales	Corynebacteriales	0
phylum	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom);Frankiales	Frankiales	0
phylum	Main genome;Bacteria;Actinobacteria;Nitriliruptoria;Euzebyales	Euzebyales	0
phylum	Main genome;Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales	Chthoniobacterales	24
phylum	Main genome;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales	Acidobacteriales	0
phylum	Main genome;Bacteria;Acidobacteria;Subgroup 6;Subgroup 6 (phylum)	Subgroup 6 (phylum)	0
phylum	Main genome;Bacteria;Chloroflexi;Chloroflexia;Kallotenuales	Kallotenuales	0
phylum	Main genome;Bacteria;Chloroflexi;Chloroflexia;Chloroflexales	Chloroflexales	0
phylum	Main genome;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales	Anaerolineales	0
phylum	Main genome;Bacteria;Planctomycetes;Planctomycetacia;Isosphaerales	Isosphaerales	0
phylum	Main genome;Bacteria;Planctomycetes;Planctomycetacia;Pirellulales	Pirellulales	0
phylum	Main genome;Bacteria;Gemmatimonadetes;Gemmatimonadetes (kingdom);Gemmatimonadales	Gemmatimonadales	0
phylum	Main genome;Bacteria;Gemmatimonadetes;Longimicrobia;Longimicrobiales	Longimicrobiales	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia)	Metazoa (Animalia)	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Ichthyosporea	Ichthyosporea	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Choanoflagellida	Choanoflagellida	234
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Filasterea	Filasterea	0
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 1	Unknown Holozoa phylum 1	170
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 2	Unknown Holozoa phylum 2	156
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 3	Unknown Holozoa phylum 3	128
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 4	Unknown Holozoa phylum 4	40
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 5	Unknown Holozoa phylum 5	30
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 6	Unknown Holozoa phylum 6	22
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 7	Unknown Holozoa phylum 7	6
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 8	Unknown Holozoa phylum 8	6
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 9	Unknown Holozoa phylum 9	4
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 10	Unknown Holozoa phylum 10	2
phylum	Main genome;Eukaryota;Opisthokonta;Holozoa;Unknown Holozoa phylum 11	Unknown Holozoa phylum 11	2
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Fungi	Fungi	99006
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Nucleariidae and Fonticula group	Nucleariidae and Fonticula group	0
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 1	Unknown Nucletmycea phylum 1	18
phylum	Main genome;Eukaryota;Opisthokonta;Nucletmycea;Unknown Nucletmycea phylum 2	Unknown Nucletmycea phylum 2	6
